,Founded,Size,Location,Type of Ownership,Sector,Revenue,Rating,Salary Estimate,Job Title,Job Description,Industry,Company Name
27,1967,10000+ Employees,Pune,Company - Public,Manufacturing,$10+ billion (USD),4.0,,Data Scientist,"Job Expectations
The Data Scientist job expectations typically ( 80%-90% of the work ) include performing descriptive statistical analysis, data visualization and support troubleshooting service offerings in semiconductor manufacturing using proprietary analytical platforms, commercial tools and custom scripts. The candidate will be responsible for cleansing and analyzing data to improve yield and device performance of advanced logic/memory integrated circuits.
It also includes ( 20%-10% of the work ) applying advanced mathematical, statistical and programming skills for solving customer high-value problems through research and development.
People within this role should be willing to learn and adopt semiconductor industry as their career domain. They should crossover and learn different subject areas such as Electronics, Physics, Chemistry, Mechanical Engg, Statistics, Mathematics and Computer Science and see the big picture, while also being good data storytellers.",Electrical & Electronic Manufacturing,Pivotchain Solution Technologies
28,1967,10000+ Employees,Pune,Company - Public,Manufacturing,$10+ billion (USD),4.0,,AI / ML / Data Engr -Analyst-Scientist / IOT,"Job Expectations
The Data Scientist job expectations typically ( 80%-90% of the work ) include performing descriptive statistical analysis, data visualization and support troubleshooting service offerings in semiconductor manufacturing using proprietary analytical platforms, commercial tools and custom scripts. The candidate will be responsible for cleansing and analyzing data to improve yield and device performance of advanced logic/memory integrated circuits.
It also includes ( 20%-10% of the work ) applying advanced mathematical, statistical and programming skills for solving customer high-value problems through research and development.
People within this role should be willing to learn and adopt semiconductor industry as their career domain. They should crossover and learn different subject areas such as Electronics, Physics, Chemistry, Mechanical Engg, Statistics, Mathematics and Computer Science and see the big picture, while also being good data storytellers.",Electrical & Electronic Manufacturing,Calsoft
29,1967,10000+ Employees,Noida,Company - Public,Manufacturing,$10+ billion (USD),4.0,,Associate Data Scientist,"Job Expectations
The Data Scientist job expectations typically ( 80%-90% of the work ) include performing descriptive statistical analysis, data visualization and support troubleshooting service offerings in semiconductor manufacturing using proprietary analytical platforms, commercial tools and custom scripts. The candidate will be responsible for cleansing and analyzing data to improve yield and device performance of advanced logic/memory integrated circuits.
It also includes ( 20%-10% of the work ) applying advanced mathematical, statistical and programming skills for solving customer high-value problems through research and development.
People within this role should be willing to learn and adopt semiconductor industry as their career domain. They should crossover and learn different subject areas such as Electronics, Physics, Chemistry, Mechanical Engg, Statistics, Mathematics and Computer Science and see the big picture, while also being good data storytellers.",Electrical & Electronic Manufacturing,Liberin Technologies Private Limited
30,,,Pune,,,,,₹223K (Employer est.),Data Scientist,"Responsibilities for Data Scientist/ NLP Engineer Work with customers to identify opportunities for leveraging their data to drive business solutions. * Develop custom data models and algorithms to apply to data sets. * Basic data cleaning and annotation for any incoming raw data. * Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes. * Develop company A/B testing framework and test model quality.
Deployment of ML model in production. Qualifications for Junior Data Scientist/ NLP Engineer
BS, MS in Computer Science, Engineering, or related discipline.
3+ Years of experience in Data Science/Machine Learning.
Experience with programming language Python.
Familiar with at least one database query language, such as SQL",,UTURNGROUP
31,,,Pune,,,,,₹223K (Employer est.),Associate Data Scientist,"Responsibilities for Data Scientist/ NLP Engineer Work with customers to identify opportunities for leveraging their data to drive business solutions. * Develop custom data models and algorithms to apply to data sets. * Basic data cleaning and annotation for any incoming raw data. * Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes. * Develop company A/B testing framework and test model quality.
Deployment of ML model in production. Qualifications for Junior Data Scientist/ NLP Engineer
BS, MS in Computer Science, Engineering, or related discipline.
3+ Years of experience in Data Science/Machine Learning.
Experience with programming language Python.
Familiar with at least one database query language, such as SQL",,Yash Technologies
32,,,Mumbai,,,,,₹223K (Employer est.),Data Scientist Associate - Wholesale Payments,"Responsibilities for Data Scientist/ NLP Engineer Work with customers to identify opportunities for leveraging their data to drive business solutions. * Develop custom data models and algorithms to apply to data sets. * Basic data cleaning and annotation for any incoming raw data. * Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes. * Develop company A/B testing framework and test model quality.
Deployment of ML model in production. Qualifications for Junior Data Scientist/ NLP Engineer
BS, MS in Computer Science, Engineering, or related discipline.
3+ Years of experience in Data Science/Machine Learning.
Experience with programming language Python.
Familiar with at least one database query language, such as SQL",,"JPMorgan Chase Bank, N.A."
33,,,Pune,,,,,₹223K (Employer est.),Data Scientist,"Responsibilities for Data Scientist/ NLP Engineer Work with customers to identify opportunities for leveraging their data to drive business solutions. * Develop custom data models and algorithms to apply to data sets. * Basic data cleaning and annotation for any incoming raw data. * Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes. * Develop company A/B testing framework and test model quality.
Deployment of ML model in production. Qualifications for Junior Data Scientist/ NLP Engineer
BS, MS in Computer Science, Engineering, or related discipline.
3+ Years of experience in Data Science/Machine Learning.
Experience with programming language Python.
Familiar with at least one database query language, such as SQL",,KPIT Technologies GmbH
34,,,Pune,,,,,₹223K (Employer est.),Specialist Data Scientist,"Responsibilities for Data Scientist/ NLP Engineer Work with customers to identify opportunities for leveraging their data to drive business solutions. * Develop custom data models and algorithms to apply to data sets. * Basic data cleaning and annotation for any incoming raw data. * Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes. * Develop company A/B testing framework and test model quality.
Deployment of ML model in production. Qualifications for Junior Data Scientist/ NLP Engineer
BS, MS in Computer Science, Engineering, or related discipline.
3+ Years of experience in Data Science/Machine Learning.
Experience with programming language Python.
Familiar with at least one database query language, such as SQL",,NICE
35,,,Mumbai,,,,,₹223K (Employer est.),,"Responsibilities for Data Scientist/ NLP Engineer Work with customers to identify opportunities for leveraging their data to drive business solutions. * Develop custom data models and algorithms to apply to data sets. * Basic data cleaning and annotation for any incoming raw data. * Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes. * Develop company A/B testing framework and test model quality.
Deployment of ML model in production. Qualifications for Junior Data Scientist/ NLP Engineer
BS, MS in Computer Science, Engineering, or related discipline.
3+ Years of experience in Data Science/Machine Learning.
Experience with programming language Python.
Familiar with at least one database query language, such as SQL",,SHL Global
36,,,Pune,,,,,₹223K (Employer est.),Data Scientist,"Responsibilities for Data Scientist/ NLP Engineer Work with customers to identify opportunities for leveraging their data to drive business solutions. * Develop custom data models and algorithms to apply to data sets. * Basic data cleaning and annotation for any incoming raw data. * Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes. * Develop company A/B testing framework and test model quality.
Deployment of ML model in production. Qualifications for Junior Data Scientist/ NLP Engineer
BS, MS in Computer Science, Engineering, or related discipline.
3+ Years of experience in Data Science/Machine Learning.
Experience with programming language Python.
Familiar with at least one database query language, such as SQL",,KBR
