,Company Name,Job Title,Job Description,Salary Estimate,Location,Revenue,min_salary,max_salary,python,sql,Machine Learning,TensorFlow
22,Jumio Corporation,Data Scientist,"Responsibilities for Data Scientist/ NLP Engineer Work with customers to identify opportunities for leveraging their data to drive business solutions. * Develop custom data models and algorithms to apply to data sets. * Basic data cleaning and annotation for any incoming raw data. * Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes. * Develop company A/B testing framework and test model quality.
Deployment of ML model in production. Qualifications for Junior Data Scientist/ NLP Engineer
BS, MS in Computer Science, Engineering, or related discipline.
3+ Years of experience in Data Science/Machine Learning.
Experience with programming language Python.
Familiar with at least one database query language, such as SQL",₹223K (Employer est.),Jaipur,,223,223,1,1,1,0
23,Micron Technology,"Intern, Data Scientist","Responsibilities for Data Scientist/ NLP Engineer Work with customers to identify opportunities for leveraging their data to drive business solutions. * Develop custom data models and algorithms to apply to data sets. * Basic data cleaning and annotation for any incoming raw data. * Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes. * Develop company A/B testing framework and test model quality.
Deployment of ML model in production. Qualifications for Junior Data Scientist/ NLP Engineer
BS, MS in Computer Science, Engineering, or related discipline.
3+ Years of experience in Data Science/Machine Learning.
Experience with programming language Python.
Familiar with at least one database query language, such as SQL",₹223K (Employer est.),Hyderābād,,223,223,1,1,1,0
24,Mercedes-Benz Research and Development India Private Limited,RD I/TBT - data scientist,"Responsibilities for Data Scientist/ NLP Engineer Work with customers to identify opportunities for leveraging their data to drive business solutions. * Develop custom data models and algorithms to apply to data sets. * Basic data cleaning and annotation for any incoming raw data. * Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes. * Develop company A/B testing framework and test model quality.
Deployment of ML model in production. Qualifications for Junior Data Scientist/ NLP Engineer
BS, MS in Computer Science, Engineering, or related discipline.
3+ Years of experience in Data Science/Machine Learning.
Experience with programming language Python.
Familiar with at least one database query language, such as SQL",₹223K (Employer est.),Bangalore,,223,223,1,1,1,0
25,Agilite,Data Scientist / BigData Engineer,"Responsibilities for Data Scientist/ NLP Engineer Work with customers to identify opportunities for leveraging their data to drive business solutions. * Develop custom data models and algorithms to apply to data sets. * Basic data cleaning and annotation for any incoming raw data. * Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes. * Develop company A/B testing framework and test model quality.
Deployment of ML model in production. Qualifications for Junior Data Scientist/ NLP Engineer
BS, MS in Computer Science, Engineering, or related discipline.
3+ Years of experience in Data Science/Machine Learning.
Experience with programming language Python.
Familiar with at least one database query language, such as SQL",₹223K (Employer est.),Bangalore,,223,223,1,1,1,0
26,PubMatic,Data Scientist / Machine Learning Engineer,"Responsibilities for Data Scientist/ NLP Engineer Work with customers to identify opportunities for leveraging their data to drive business solutions. * Develop custom data models and algorithms to apply to data sets. * Basic data cleaning and annotation for any incoming raw data. * Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes. * Develop company A/B testing framework and test model quality.
Deployment of ML model in production. Qualifications for Junior Data Scientist/ NLP Engineer
BS, MS in Computer Science, Engineering, or related discipline.
3+ Years of experience in Data Science/Machine Learning.
Experience with programming language Python.
Familiar with at least one database query language, such as SQL",₹223K (Employer est.),Pune,,223,223,1,1,1,0
27,AlphaSense,Data Scientist,"Responsibilities for Data Scientist/ NLP Engineer Work with customers to identify opportunities for leveraging their data to drive business solutions. * Develop custom data models and algorithms to apply to data sets. * Basic data cleaning and annotation for any incoming raw data. * Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes. * Develop company A/B testing framework and test model quality.
Deployment of ML model in production. Qualifications for Junior Data Scientist/ NLP Engineer
BS, MS in Computer Science, Engineering, or related discipline.
3+ Years of experience in Data Science/Machine Learning.
Experience with programming language Python.
Familiar with at least one database query language, such as SQL",₹223K (Employer est.),Pune,,223,223,1,1,1,0
28,Merkle,Data Scientist - Innovations,"Responsibilities for Data Scientist/ NLP Engineer Work with customers to identify opportunities for leveraging their data to drive business solutions. * Develop custom data models and algorithms to apply to data sets. * Basic data cleaning and annotation for any incoming raw data. * Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes. * Develop company A/B testing framework and test model quality.
Deployment of ML model in production. Qualifications for Junior Data Scientist/ NLP Engineer
BS, MS in Computer Science, Engineering, or related discipline.
3+ Years of experience in Data Science/Machine Learning.
Experience with programming language Python.
Familiar with at least one database query language, such as SQL",₹223K (Employer est.),Pune,,223,223,1,1,1,0
29,General Mills,Sr. Data Scientist-I,"Responsibilities for Data Scientist/ NLP Engineer Work with customers to identify opportunities for leveraging their data to drive business solutions. * Develop custom data models and algorithms to apply to data sets. * Basic data cleaning and annotation for any incoming raw data. * Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes. * Develop company A/B testing framework and test model quality.
Deployment of ML model in production. Qualifications for Junior Data Scientist/ NLP Engineer
BS, MS in Computer Science, Engineering, or related discipline.
3+ Years of experience in Data Science/Machine Learning.
Experience with programming language Python.
Familiar with at least one database query language, such as SQL",₹223K (Employer est.),India,,223,223,1,1,1,0
30,Siemens Technology and Services Private Limited,Sr Data Scientist (Level 10),"Responsibilities for Data Scientist/ NLP Engineer Work with customers to identify opportunities for leveraging their data to drive business solutions. * Develop custom data models and algorithms to apply to data sets. * Basic data cleaning and annotation for any incoming raw data. * Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes. * Develop company A/B testing framework and test model quality.
Deployment of ML model in production. Qualifications for Junior Data Scientist/ NLP Engineer
BS, MS in Computer Science, Engineering, or related discipline.
3+ Years of experience in Data Science/Machine Learning.
Experience with programming language Python.
Familiar with at least one database query language, such as SQL",₹180K - ₹360K (Employer est.),Bangalore,,180,360,1,1,1,0
31,ABB,Data Scientist,"Responsibilities for Data Scientist/ NLP Engineer Work with customers to identify opportunities for leveraging their data to drive business solutions. * Develop custom data models and algorithms to apply to data sets. * Basic data cleaning and annotation for any incoming raw data. * Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes. * Develop company A/B testing framework and test model quality.
Deployment of ML model in production. Qualifications for Junior Data Scientist/ NLP Engineer
BS, MS in Computer Science, Engineering, or related discipline.
3+ Years of experience in Data Science/Machine Learning.
Experience with programming language Python.
Familiar with at least one database query language, such as SQL",₹180K - ₹360K (Employer est.),Bangalore,,180,360,1,1,1,0
